Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
713,AMD,Athlon 64,,K8,2100+,,1200.0,,1,1,,,,,,,,,,,,,5.75,6.22,5.53,4.38,4.45,5.74,6.1,5.9,5.67,8.22,9.21,4.84,4.21,6.7,8.99,5.98,6.71,5.4,5.36,6.24,5.85,5.22,8.12,5.28,6.97,3.15,6.04,6.58,8.05,7.21,7.19,,64,64,512,,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
714,AMD,Athlon 64,ClawHammer,K8,3000+,,2000.0,,1,1,89.0,64,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,1.5,"mul(360,Leff)"
715,AMD,Athlon 64,ClawHammer,K8,3200+,,2000.0,,1,1,,,,,,,,,,,1265.9999999999995,1179.9999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
716,AMD,Athlon 64,ClawHammer,K8,3500+,,2600.0,,1,1,,,,,,,,,,,1268.9999999999998,1699.9999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
717,AMD,Athlon 64,SledgeHammer,K8,FX-51,,2200.0,,1,1,,,,,,,,,,,1328.168663988124,1349.836656784812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
718,AMD,Athlon 64,SledgeHammer,K8,FX-53,,2400.0,,1,1,,,,,,,,,,,1611.9624685457154,1548.8318178549932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
719,AMD,Athlon 64,ClawHammer,K8,FX-55,2004-06-01,2600.0,,1,1,89.0,,105.9,193,1.5,1.5,,,,,1664.4068012358034,1717.8460350101225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,1.5,"mul(360,Leff)"
720,AMD,Athlon 64,San Diego,K8,FX-57,2005-06-01,2800.0,,1,1,104.0,,114.0,115,1.4,1.4,,,,,1802.550970153132,1945.2516546709323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.4,"mul(360,Leff)"
721,AMD,Athlon 64,Toledo,K8,FX-60,2006-01-01,2600.0,,1,2,110.0,64,233.0,199,1.3,1.35,,,,,,,10.1,,13.1,9.02,8.67,6.76,14.4,10.2,12.6,13.5,19.7,7.28,7.81,5.87,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
722,AMD,Athlon 64,Windsor,K8,FX-62,2006-07-01,2800.0,,1,2,125.0,64,243.0,220,1.35,1.35,,,,,1880.5310420197807,1944.4999357161203,11.4,10.299999999999999,14.4,10.4,9.98,11.5,17.0,4.62,12.8,12.8,16.0,10.9,9.79,12.4,16.2,13.9,11.6,12.0,6.88,10.1,8.04,12.0,12.2,9.85,17.0,4.3,8.09,6.43,12.4,10.1,12.9,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
