Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
42,Intel,Celeron,Coppermine T,,,,1000.0,,1,1,29.0,,28.0,90,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.75,
43,Intel,Celeron,Tualatin,,,,1000.0,,1,1,27.8,,44.0,80,,1.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.475,
44,Intel,Celeron,Coppermine T,,,,1100.0,,1,1,33.0,,28.0,90,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.75,
45,Intel,Celeron,Tualatin,,,,1100.0,,1,1,28.9,,44.0,80,,1.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.475,
46,Intel,Celeron,Tualatin,,,,1300.0,,1,1,33.4,,44.0,80,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.5,
47,Intel,Celeron,Tualatin,,,,1400.0,,1,1,34.8,,44.0,80,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.5,
48,Intel,Celeron,Northwood,,,,1700.0,,1,1,63.5,,55.0,131,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.75,
49,Intel,Celeron,Northwood,,,,1800.0,,1,1,66.1,,55.0,131,1.56,1.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.725,
50,Intel,Celeron,Northwood,,,,2100.0,,1,1,55.5,,55.0,131,1.315,1.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.525,
51,Intel,Celeron,Northwood,,,,2200.0,,1,1,57.1,,55.0,131,1.315,1.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.525,
52,Intel,Celeron,Northwood,,,,2300.0,,1,1,58.3,,55.0,131,1.315,1.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.525,
53,Intel,Celeron,Northwood,,,,2600.0,,1,1,62.6,,55.0,131,1.315,1.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.525,
54,Intel,Celeron,Northwood,,,,2700.0,,1,1,66.8,,55.0,131,1.315,1.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.525,
55,Intel,Celeron,Northwood,,,,2800.0,,1,1,68.4,,55.0,131,1.315,1.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,1.525,
56,Intel,Celeron,Mendocino,,,,500.0,,1,1,27.0,,19.0,154,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,2.0,
57,Intel,Celeron,Mendocino,,,,533.0,,1,1,28.3,,19.0,154,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,2.0,
58,Intel,Celeron,Coppermine T,,,,600.0,,1,1,15.8,,28.0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,
59,Intel,Celeron,Coppermine T,,,,633.0,,1,1,16.5,,28.0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,
