Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
84,Intel,Core 2 Duo,Merom,,T5200,,1600.0,,2,2,34.0,,291.0,143,1.075,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.175,
85,Intel,Core 2 Duo,Merom,,T5600,,1830.0,,2,2,34.0,,291.0,143,1.0375,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.3,
212,Intel,Core 2 Duo,Merom,,L7200,,1330.0,,2,2,17.0,,291.0,143,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.1,
221,Intel,Core 2 Duo,Conroe,,E4400,,2000.0,,2,2,65.0,,167.0,111,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.5,
222,Intel,Core 2 Duo,Conroe,,E6320,,1860.0,,2,2,65.0,,291.0,143,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.5,
223,Intel,Core 2 Duo,Conroe,,E6420,,2130.0,,2,2,65.0,,291.0,143,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.5,
224,Intel,Core 2 Duo,Merom,,L7300,,1400.0,,2,2,17.0,,291.0,143,0.975,1.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.062,
225,Intel,Core 2 Duo,Merom,,T5300,,1730.0,,2,2,34.0,,291.0,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,,
226,Intel,Core 2 Duo,Merom,,T7300,,2000.0,,2,2,35.0,,291.0,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,,
237,Intel,Core 2 Duo,Conroe,,E6540,,2330.0,,2,2,65.0,,291.0,143,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.5,
238,Intel,Core 2 Duo,Conroe,,E6550,,2330.0,,2,2,65.0,,291.0,143,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.5,
239,Intel,Core 2 Duo,Merom,,T5250,,1500.0,,2,2,35.0,,291.0,143,1.075,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.25,
240,Intel,Core 2 Duo,Merom,,T5450,,1660.0,,2,2,35.0,,291.0,143,1.075,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.25,
248,Intel,Core 2 Duo,Merom,,T7250,,2000.0,,2,2,35.0,,291.0,143,1.075,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.175,
251,Intel,Core 2 Duo,Merom,,T5470,,1600.0,,2,2,35.0,,291.0,143,1.075,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.25,
262,Intel,Core 2 Duo,Merom,,L7700,,1800.0,,2,2,17.0,,291.0,143,0.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.2,
263,Intel,Core 2 Duo,Merom,,T5550,,1830.0,,2,2,35.0,,291.0,143,1.075,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.25,
269,Intel,Core 2 Duo,Merom,,T5270,,1400.0,,2,2,35.0,,291.0,143,1.075,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.25,
270,Intel,Core 2 Duo,Penryn,,T8300,,2400.0,,2,2,35.0,,410.0,107,1.0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3072,,,,,,,,,,,,,,,,,,1.25,
273,Intel,Core 2 Duo,Merom,,T5750,,2000.0,,2,2,35.0,,291.0,143,1.075,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.175,
