Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
213,Intel,Core 2 Extreme,Kentsfield,,QX6700,,2660.0,,4,4,130.0,,582.0,286,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,,,,,,,,,,,,,,,,,,1.5,
230,Intel,Core 2 Extreme,Kentsfield,,QX6800,,2930.0,,4,4,130.0,,582.0,286,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,,,,,,,,,,,,,,,,,,1.5,
241,Intel,Core 2 Extreme,Kentsfield,,QX6850,,3000.0,,4,4,130.0,,582.0,286,0.85,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,,,,,,,,,,,,,,,,,,1.5,
277,Intel,Core 2 Extreme,Yorkfield,,QX9650,,3000.0,,4,4,130.0,,820.0,214,0.85,1.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,,,,,,,,,,,,,,,,,,1.3625,
281,Intel,Core 2 Extreme,Yorkfield,,QX9770,,3200.0,,4,4,136.0,,820.0,214,0.85,1.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,,,,,,,,,,,,,,,,,,1.3625,
284,Intel,Core 2 Extreme,Yorkfield,,QX9775,,3200.0,,4,4,150.0,,820.0,214,0.85,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,,,,,,,,,,,,,,,,,,1.35,
291,Intel,Core 2 Extreme,Penryn,,X9100,,3060.0,,2,2,44.0,,410.0,107,1.05,1.2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144,,,,,,,,,,,,,,,,,,1.2625,
301,Intel,Core 2 Extreme,Penryn,,QX9300,,2530.0,,4,4,45.0,,820.0,214,1.05,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,,,,,,,,,,,,,,,,,,1.175,
1118,Intel,Core 2 Extreme,Conroe,Core:Conroe,X6800,2006-07-01,2930.0,,2,2,75.0,64,291.0,143,0.85,1.5,,,,,3069.299141761929,2925.0128972598286,18.263660254917674,16.6913624999862,21.3314090603762,15.76575395213431,13.198220604955354,24.427564477328257,19.199480961084543,13.292780675074964,17.796045496136067,19.697789783558747,30.59593905697575,14.991897846684278,14.432795622497487,21.543312722025473,22.1480693760325,18.342128745752017,11.824806570860796,17.063256832883706,17.42273418882674,20.43327901494791,13.988119172119113,15.064836382814063,18.111346832495027,15.054821617481668,21.061912527236952,13.96444891494396,12.61766230476852,14.138916349716869,15.8217187829313,18.428720113491288,22.8701727698065,,32,32,4096,,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,10.409090909090903,1.5,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1119,Intel,Core 2 Extreme,Merom,Core:Merom,X7800,,2600.0,,2,2,44.0,,291.0,143,1.1,1.375,,,,,,,16.400000000000002,14.7,18.2,13.6,10.3,22.2,17.0,13.5,15.2,21.3,26.3,13.3,12.8,20.0,19.8,14.0,9.84,14.7,14.9,16.8,12.6,13.4,18.0,13.1,18.6,11.7,10.6,13.9,14.2,17.1,21.9,,32,32,4096,,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,10.764957264963531,1.375,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1120,Intel,Core 2 Extreme,Merom,Core:Merom,X7900,2007-08-01,2800.0,,2,2,44.0,64,291.0,143,1.1,1.375,,,,,,,17.762509993435803,15.895569879789056,19.07352031771888,14.433024449342968,13.145435919402741,23.166044758995312,17.962105463619828,14.566590272249769,16.299999999999997,25.412944194905098,28.399882628622905,13.933013329239847,13.599999999999998,20.290124375347006,21.412261875459222,16.836259552941367,10.49326855015535,15.995597747205064,16.49024216439423,19.624182285698357,13.329037504976935,14.532799314515636,17.367756378797576,13.466087722499623,20.230662838988817,12.924884362581826,11.359412453907726,15.803203964892877,14.56477402520089,18.686107863021157,23.26533308539744,,32,32,4096,,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,10.764957264963531,1.375,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1121,Intel,Core 2 Extreme,Penryn,Core:Penryn,X9000,2008-01-01,2800.0,,2,2,44.0,64,410.0,107,1.0,1.275,,,,,,,18.896276899775067,17.361574605699914,17.629495994335056,15.199780698590379,15.904707017198673,25.46662299850276,17.93032322656547,14.666590793914201,16.86660070346251,32.25872608051823,28.966513468208657,15.221668081089929,14.199765254335311,20.825411957357147,23.29291415125779,18.91373636312637,10.832921378154785,17.863410584577714,17.752869469310205,24.029131292684532,15.091704871886124,14.566590272249769,16.142318871922903,14.666135196535867,21.09666696377669,13.616746958818926,12.692547345902229,18.099815836063556,17.39632634823307,20.446491428450834,27.03120534702548,,32,32,6144,,,,,,,,,,,Intel,,0.045,0.035,9,copper,12.6,1.275,"mul(360,Leff)"
