Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
316,Intel,Core 2 Quad,Penryn,,Q9100,,2260.0,,4,4,45.0,,820.0,214,1.05,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,,,,,,,,,,,,,,,,,,1.175,
329,Intel,Core 2 Quad,Yorkfield,,Q9500,,2830.0,,4,4,95.0,,456.0,164,0.85,1.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144,,,,,,,,,,,,,,,,,,1.3625,
344,Intel,Core 2 Quad,Penryn,,Q9000,,2000.0,,4,4,45.0,,410.0,107,1.05,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144,,,,,,,,,,,,,,,,,,1.175,
349,Intel,Core 2 Quad,Yorkfield,,Q9400S,,2660.0,,4,4,65.0,,456.0,164,0.85,1.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144,,,,,,,,,,,,,,,,,,1.3625,
350,Intel,Core 2 Quad,Yorkfield,,Q9550S,,2830.0,,4,4,65.0,,820.0,214,0.85,1.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,,,,,,,,,,,,,,,,,,1.3625,
351,Intel,Core 2 Quad,Yorkfield,,Q8200S,,2330.0,,4,4,65.0,,456.0,164,0.85,1.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.3625,
363,Intel,Core 2 Quad,Yorkfield,,Q8400S,,2660.0,,4,4,65.0,,456.0,164,0.85,1.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.3625,
378,Intel,Core 2 Quad,Yorkfield,,Q9505,,2830.0,,4,4,95.0,,456.0,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144,,,,,,,,,,,,,,,,,,,
379,Intel,Core 2 Quad,Yorkfield,,Q9505S,,2830.0,,4,4,65.0,,456.0,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144,,,,,,,,,,,,,,,,,,,
1122,Intel,Core 2 Quad,Kentsfield,Core:Kentsfield,Q6600,2007-01-01,2400.0,,4,4,105.0,64,582.0,286,0.85,1.5,,,,,,,16.399695119117307,15.147937153289222,17.3,12.9,11.0,23.44866733953126,16.099999999999998,12.64990118538481,14.449913494550755,25.78429754715067,24.649949290008692,14.54922678357857,12.349898785010346,19.64942747257538,23.51680250374187,13.049904214207858,11.793218390244455,14.699659860010367,13.9,16.898816526609192,14.687749997872377,12.449899597988733,17.349927953740902,14.64581851587681,17.24992753607968,11.049886877249016,12.838224176263632,13.4,15.946159412222118,17.797471730557685,21.89977168830762,,32,32,8192,2,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,10.409090909090903,1.5,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
