Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
73,Intel,Core Duo,Yonah,,L2300,,1500.0,,2,2,15.0,,151.0,90,0.7625,1.2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.2125,
74,Intel,Core Duo,Yonah,,L2500,,1830.0,,2,2,15.0,,151.0,90,0.7625,1.2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.2125,
75,Intel,Core Duo,Yonah,,T2050,,1600.0,,2,2,31.0,,151.0,90,0.7625,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.3,
76,Intel,Core Duo,Yonah,,T2250,,1730.0,,2,2,31.0,,151.0,90,0.7625,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.3,
77,Intel,Core Duo,Yonah,,T2300E,,1660.0,,2,2,31.0,,151.0,90,0.7625,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.3,
78,Intel,Core Duo,Yonah,,U2400,,1060.0,,2,2,9.0,,151.0,90,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.1,
219,Intel,Core Duo,Yonah,,T2350,,1860.0,,2,2,31.0,,151.0,90,0.95,1.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.262,
220,Intel,Core Duo,Yonah,,T2450,,2000.0,,2,2,31.0,,151.0,90,0.95,1.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.262,
1139,Intel,Core Duo,Yonah,P6:Yonah,T2300,,1660.0,,2,2,31.0,,151.0,90,1.1625,1.3,,,,,1385.0000000000002,1318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,2048,,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,11.025925925932714,1.3,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1140,Intel,Core Duo,Yonah,P6:Yonah,T2400,2006-01-01,1830.0,,2,2,31.0,32,151.0,90,1.1625,1.3,,,,,,,9.809587147275874,8.434879963579805,10.94988584415381,7.824730027291676,7.1014364744043155,13.749181793837769,11.449890829173874,7.224956747275377,10.249878048055011,10.448923389517219,14.749915253993834,8.389141791625649,7.614867037578529,11.449890829173874,14.098581488930012,9.38499866808728,7.374252504491557,8.144875689659113,8.744884218787575,8.664883149818007,7.009821681041537,7.249993103444996,11.5,7.974020316001208,11.0,5.29497875349845,7.719682635963735,6.589931714365483,7.649764702263724,9.554841704601914,9.089862485208453,,32,32,2048,,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,11.025925925932714,1.3,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1141,Intel,Core Duo,Yonah,P6:Yonah,T2500,,2000.0,,1,2,,,,,,,,,,,,,10.1,8.88,10.3,8.4,8.41,12.6,12.4,8.03,11.3,11.5,16.5,6.76,8.3,10.8,14.3,10.3,7.35,8.92,9.59,7.26,7.51,7.94,11.5,9.34,10.6,5.86,8.1,7.35,8.0,10.5,9.91,,32,32,2048,,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,11.435740971357404,,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1142,Intel,Core Duo,Yonah,P6:Yonah,T2600,2006-01-01,2167.0,,2,2,31.0,32,151.0,90,1.1625,1.3,,,,,1771.8374643290517,1597.9095719094992,11.7,9.909999999999998,12.7,9.139999999999999,7.93,16.2,13.5,8.04,11.8,17.0,17.4,9.76,9.129999999999999,13.7,15.4,10.0,7.93,9.05,9.99,9.84,8.69,8.48,13.6,9.139999999999999,13.1,6.2,8.42,9.139999999999999,9.58,12.4,11.5,,32,32,2048,,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,11.025925925932714,1.3,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1143,Intel,Core Duo,Yonah,P6:Yonah,T2700,2006-06-01,2330.0,,2,2,31.0,32,151.0,90,1.1625,1.3,,,,,1987.0000000000005,1756.0000000000007,12.049896265113658,10.549881515922348,11.749893616539683,9.649953367762976,8.919977578447156,16.049922118191105,13.749909090608563,8.409904874610652,12.349898785010346,17.8,18.298907071188705,9.724998714652871,9.549994764396471,13.349906366712839,18.2,11.749893616539683,8.31,9.679953512285067,10.7,13.299999999999999,9.119978070149072,9.104998627127848,11.2,8.95499860413166,13.949910393977447,6.55993140208036,9.369994663819185,9.48496705318474,9.540000000000001,13.249905660041508,11.599568957508723,,32,32,2048,,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,11.025925925932714,1.3,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
