Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
131,Intel,Pentium 4,Willamette,,,,1300.0,,1,1,51.6,,42.0,217,1.605,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.75,
132,Intel,Pentium 4,Willamette,,,,1400.0,,1,1,54.7,,42.0,217,1.6,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.75,
133,Intel,Pentium 4,Willamette,,,,1600.0,,1,1,61.0,,42.0,217,1.59,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.75,
134,Intel,Pentium 4,Willamette,,,,1700.0,,1,1,64.0,,42.0,217,1.58,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.75,
135,Intel,Pentium 4,Northwood,,,,1700.0,,1,1,,,55.0,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Intel,Pentium 4,Willamette,,,,1800.0,,1,1,66.7,,42.0,217,1.575,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.75,
137,Intel,Pentium 4,Willamette,,,,1900.0,,1,1,69.2,,42.0,217,1.57,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.75,
138,Intel,Pentium 4,Northwood,,,,2500.0,,1,1,61.0,,55.0,131,1.35,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.43,
139,Intel,Pentium 4,Northwood,,,,2660.0,,1,1,66.1,,55.0,131,1.345,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.42,
140,Intel,Pentium 4,Prescott,,540,,3200.0,,2,1,84.0,,125.0,112,1.2,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.425,
141,Intel,Pentium 4,Prescott,,541,,3200.0,,2,1,84.0,,125.0,112,1.2,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.425,
142,Intel,Pentium 4,Prescott,,550,,3400.0,,2,1,115.0,,125.0,112,1.2,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.425,
143,Intel,Pentium 4,Prescott,,561,,3600.0,,2,1,115.0,,125.0,112,1.2,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.425,
144,Intel,Pentium 4,Prescott,,571,,3800.0,,2,1,115.0,,125.0,112,1.2,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.425,
145,Intel,Pentium 4,Prescott,,620,,2800.0,,2,1,84.0,,169.0,135,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.4,
146,Intel,Pentium 4,Cedar Mill,,641,,3200.0,,2,1,86.0,,188.0,81,1.2,1.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.3375,
147,Intel,Pentium 4,Cedar Mill,,661,,3600.0,,2,1,86.0,,188.0,81,1.2,1.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.3375,
148,Intel,Pentium 4,Prescott,,662,,3600.0,,2,1,115.0,,169.0,135,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.4,
149,Intel,Pentium 4,Prescott,,672,,3800.0,,2,1,115.0,,169.0,135,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.4,
