Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
154,Intel,Pentium D,Smithfield,,830,,3000.0,,2,2,130.0,,230.0,206,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.4,
155,Intel,Pentium D,Presler,,915,,2800.0,,2,2,95.0,,376.0,162,1.2,1.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.3375,
208,Intel,Pentium D,Presler,,935,,3200.0,,2,2,95.0,,376.0,162,1.2,1.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.3375,
1235,Intel,Pentium D,Smithfield,NetBurst:Smithfield,805,2005-12-01,2660.0,,2,2,95.0,64,230.0,206,1.2,1.4,,,,,1235.9999999999995,,8.08,,10.1,5.82,6.67,10.1,7.45,5.79,6.58,11.3,14.9,6.79,5.73,10.6,,,,,,,,,,,,,,,,,,,12,16,2048,1,,,,,,,,,,Intel,P1262,0.09,0.053,7,copper,19.08,1.4,"mul(360,Leff)"
1236,Intel,Pentium D,Smithfield,NetBurst:Smithfield,820,,2800.0,,2,2,95.0,,230.0,206,1.2,1.4,,,,,1322.4991493381012,1468.239112573839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,2048,1,,,,,,,,,,Intel,P1262,0.09,0.053,7,copper,19.08,1.4,"mul(360,Leff)"
1237,Intel,Pentium D,Smithfield,NetBurst:Smithfield,840,,3200.0,,2,2,130.0,,230.0,206,1.2,1.4,,,,,1448.773903870651,1702.058975970963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,2048,1,,,,,,,,,,Intel,P1262,0.09,0.053,7,copper,19.08,1.4,"mul(360,Leff)"
1238,Intel,Pentium D,Presler,NetBurst:Presler,920,2006-01-01,2800.0,,2,2,95.0,64,376.0,162,1.2,1.3375,,,,,1417.993661956111,1697.968317987782,9.31,10.199999999999998,10.7,7.47,7.27,12.9,7.84,6.14,6.93,14.4,16.0,8.7,6.8,12.3,17.7,8.26,9.47,7.99,7.75,13.1,8.85,8.07,11.9,10.8,9.74,7.72,9.86,7.02,15.3,10.7,14.8,,12,16,4096,1,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,10.890222222228736,1.3375,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1239,Intel,Pentium D,Presler,NetBurst:Presler,925,2006-10-01,3000.0,,2,2,95.0,64,376.0,162,1.2,1.3375,,,,,1517.9999999999993,1784.9999999999995,9.250000000000002,9.829999999999998,11.3,7.37,6.88,11.2,8.22,6.49,7.53,14.3,16.9,7.88,6.83,11.6,15.8,8.75,8.43,7.92,8.27,11.6,8.43,8.63,10.7,10.0,10.6,8.1,8.82,7.28,13.0,10.8,14.0,,12,16,4096,1,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,10.890222222228736,1.3375,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1240,Intel,Pentium D,Presler,NetBurst:Presler,930,2006-01-01,3000.0,,2,2,95.0,64,376.0,162,1.2,1.3375,,,,,1499.805672862549,1759.1402828289456,9.850000000000001,10.699999999999998,11.5,7.97,7.6,13.5,8.39,6.57,7.41,14.9,17.2,9.04,7.23,13.0,18.2,8.85,9.69,8.51,8.3,13.9,9.28,8.65,12.7,11.3,10.4,8.25,10.2,7.49,15.5,11.3,15.6,,12,16,4096,1,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,10.890222222228736,1.3375,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1241,Intel,Pentium D,Presler,NetBurst:Presler,940,2006-01-01,3200.0,,2,2,130.0,64,376.0,162,1.2,1.3375,,,,,1604.3183308802354,1876.4362243908392,10.4,11.199999999999998,12.2,8.45,7.89,14.1,8.93,7.01,7.88,15.5,18.3,9.41,7.64,13.8,18.7,9.44,9.92,9.02,8.85,14.6,9.69,9.22,13.5,11.7,11.1,8.8,10.6,7.95,15.6,11.9,16.3,,12,16,4096,1,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,10.890222222228736,1.3375,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
