Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
156,Intel,Pentium III,Katmai,,,,533.0,,1,1,29.7,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,2.0,
1254,Intel,Pentium III,Coppermine,P6:Pentium III,,2000-03-01,1000.0,,1,1,22.0,,,90,1.7,1.7,,,46.599999999999994,31.900000000000002,431.8143407939833,297.24789657135193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,256,,,,,,,,,,,Intel,P858,0.18,0.13,6,aluminum,46.8,1.7,"mul(360,Leff)"
1255,Intel,Pentium III,Coppermine,P6:Pentium III,,,1100.0,,1,1,,,,,,,,,,,420.9999999999999,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,256,,,,,,,,,,,Intel,P858,0.18,0.13,6,aluminum,46.8,,"mul(360,Leff)"
1256,Intel,Pentium III,Coppermine,P6:Pentium III,,,1113.0,,1,1,,,,,,,,,,,,377.00000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,512,,,,,,,,,,,Intel,P858,0.18,0.13,6,aluminum,46.8,,"mul(360,Leff)"
1257,Intel,Pentium III,Coppermine,P6:Pentium III,,,1130.0,,1,1,,,,,,,,,,,461.00000000000006,319.99999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,256,,,,,,,,,,,Intel,P858,0.18,0.13,6,aluminum,46.8,,"mul(360,Leff)"
1258,Intel,Pentium III,Coppermine,P6:Pentium III,,,1133.0,,1,1,,,,,,,,,,,560.9999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,512,,,,,,,,,,,Intel,P858,0.18,0.13,6,aluminum,46.8,,"mul(360,Leff)"
1259,Intel,Pentium III,Tualatin,P6:Pentium III,,,1200.0,,1,1,,,,,,,,,,,564.0000000000002,419.99999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,512,,,,,,,,,,,Intel,Px60,0.13,0.07,6,,25.2,,"mul(360,Leff)"
1260,Intel,Pentium III,Tualatin,P6:Pentium III,,,1266.0,,1,1,,,,,,,,,,,611.0000000000002,422.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,512,,,,,,,,,,,Intel,Px60,0.13,0.07,6,,25.2,,"mul(360,Leff)"
1261,Intel,Pentium III,Tualatin,P6:Pentium III,,,1400.0,,1,1,,,,,,,,,,,647.9999999999999,436.9999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,512,,,,,,,,,,,Intel,Px60,0.13,0.07,6,,25.2,,"mul(360,Leff)"
1262,Intel,Pentium III,Katmai,P6:Pentium III,,,450.0,,1,1,25.3,,,,,2.0,,,18.59973118085312,12.099586769803336,211.00000000000003,176.99999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,512,,,,,,,,,,,Intel,P856,0.25,0.2,5,aluminum,72.0,2.0,"mul(360,channel_length)"
