Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
162,Intel,Pentium,Banias,,,,1400.0,,1,1,22.0,,77.0,83,0.956,1.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.388,
163,Intel,Pentium,Banias,,,,1500.0,,1,1,24.5,,77.0,83,0.956,1.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.484,
164,Intel,Pentium,Banias,,,,1700.0,,1,1,24.5,,77.0,83,0.956,1.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.484,
165,Intel,Pentium,Banias,,705,,1500.0,,1,1,24.5,,77.0,83,0.956,1.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.484,
166,Intel,Pentium,Dothan,,715,,1500.0,,1,1,21.0,,144.0,87,0.988,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.34,
167,Intel,Pentium,Dothan,,725,,1600.0,,1,1,21.0,,144.0,87,0.988,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.34,
168,Intel,Pentium,Dothan,,730,,1600.0,,1,1,27.0,,144.0,87,1.26,1.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.356,
169,Intel,Pentium,Dothan,,735,,1700.0,,1,1,21.0,,144.0,87,0.988,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.34,
170,Intel,Pentium,Dothan,,740,,1730.0,,1,1,27.0,,144.0,87,1.26,1.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.356,
171,Intel,Pentium,Dothan,,745A,,1800.0,,1,1,21.0,,144.0,87,1.276,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.34,
172,Intel,Pentium,Dothan,,750,,1860.0,,1,1,27.0,,144.0,87,1.26,1.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.356,
173,Intel,Pentium,Dothan,,755,,2000.0,,1,1,21.0,,144.0,87,0.988,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.34,
174,Intel,Pentium,Dothan,,765,,2100.0,,1,1,21.0,,144.0,87,0.988,1.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.356,
175,Intel,Pentium,Dothan,,770,,2130.0,,1,1,27.0,,144.0,87,1.26,1.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.372,
176,Intel,Pentium,Dothan,,780,,2260.0,,1,1,27.0,,144.0,87,1.26,1.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.404,
177,Intel,Pentium,Banias,,,,1200.0,,1,1,12.0,,77.0,83,0.956,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.18,
178,Intel,Pentium,Banias,,718,,1300.0,,1,1,12.0,,77.0,83,0.956,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.18,
179,Intel,Pentium,Dothan,,758,,1500.0,,1,1,7.5,,144.0,87,0.988,1.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.116,
180,Intel,Pentium,Dothan,,778,,1600.0,,1,1,10.0,,144.0,87,0.988,1.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.116,
181,Intel,Pentium,Banias,,,,1000.0,,1,1,7.0,,77.0,83,0.844,1.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.004,
182,Intel,Pentium,Banias,,713,,1100.0,,1,1,7.0,,77.0,83,0.844,1.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.004,
183,Intel,Pentium,Dothan,,723,,1000.0,,1,1,5.0,,144.0,87,0.812,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,0.94,
184,Intel,Pentium,Dothan,,733,,1100.0,,1,1,5.0,,144.0,87,0.812,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,0.956,
