Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V]
292,Intel,Atom,Silverthorne,,Z540,,1860.0,,2,1,2.4,,47.0,26,0.75,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.1
293,Intel,Atom,Silverthorne,,Z500,,800.0,,2,1,0.65,,47.0,26,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.1
347,Intel,Atom,Silverthorne,,Z515,,1200.0,,2,1,1.4,,47.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,
348,Intel,Atom,Silverthorne,,Z550,,2000.0,,2,1,2.4,,47.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,
400,Intel,Atom,Pineview,,N470,,1830.0,,2,1,6.5,,123.0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,
440,Intel,Atom,Pineview,,N475,,1830.0,,2,1,6.5,,123.0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,
444,Intel,Atom,Lincroft,,Z600,,1200.0,,2,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Intel,Atom,Lincroft,,Z615,,1600.0,,2,1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Intel,Atom,Lincroft,,Z625,,1900.0,,2,1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Intel,Atom,Silverthorne,,Z560,,2130.0,,2,1,2.5,,47.0,26,0.75,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,1.1
473,Intel,Atom,Pineview,,N550,,1500.0,,4,2,8.5,,176.0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,
589,Intel,Atom,Pineview,,N570,,1660.0,,4,2,8.5,,176.0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,
599,Intel,Atom,Cedarview,,D2500,,1860.0,,2,2,10.0,,,,0.91,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.21
600,Intel,Atom,Cedarview,,D2700,,2130.0,,4,2,10.0,,,,0.91,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.21
1059,Intel,Atom,Diamondville,Bonnel,230,2008-06-03,1600.0,,2,1,4.0,32,47.0,26,0.9,1.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,24,512,1,,,,,,,,,,Intel,,0.045,0.035,9,copper,12.6,1.1625
1060,Intel,Atom,Diamondville,Bonnel,330,2008-09-01,1600.0,,4,2,8.0,32,94.0,52,0.9,1.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,24,1024,1,,,,,,,,,,Intel,,0.045,0.035,9,copper,12.6,1.1625
