Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
1,Intel,Xeon,Irwindale,,,,3600.0,,1,1,110.0,,169.0,135,1.2875,1.3875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.3875,
2,Intel,Xeon,Irwindale,,,,3800.0,,1,1,110.0,,169.0,135,1.2875,1.3875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.3875,
3,Intel,Xeon,Cranford,,,,3660.0,,2,1,110.0,,125.0,112,1.2875,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,1.4,
67,Intel,Xeon,Dempsey,,5030,,2660.0,,4,2,95.0,,376.0,162,1.075,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.35,
68,Intel,Xeon,Dempsey,,5040,,2830.0,,4,2,95.0,,376.0,162,1.075,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.35,
69,Intel,Xeon,Dempsey,,5060,,3200.0,,4,2,130.0,,376.0,162,1.075,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.35,
70,Intel,Xeon,Dempsey,,5070,,3460.0,,4,2,130.0,,376.0,162,1.075,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.35,
71,Intel,Xeon,Paxville,,7030,,2800.0,,4,2,165.0,,230.0,206,1.2625,1.4125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,1.4125,
72,Intel,Xeon,Paxville,,7040,,3000.0,,4,2,165.0,,230.0,206,1.2625,1.4125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,1.4125,
86,Intel,Xeon,Foster,,,,1700.0,,1,1,65.8,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,1.75,
